x,y,z
0.344,-9.73,0.004
0.191,-9.807,0.0
0.191,-9.807,0.0
0.804,-12.795,6.272
0.804,-12.795,6.272
1.379,-8.696,0.392
1.379,-8.696,0.392
1.187,-10.075,0.193
-0.344,-10.19,0.231
-0.727,-9.308,0.064
-0.727,-9.308,0.064
0.8809999999999999,-8.734,0.11
0.8809999999999999,-8.734,0.11
-0.191,-8.81,0.389
1.494,-9.998,0.496
1.494,-9.998,0.496
1.5319999999999998,-7.853,0.171
1.5319999999999998,-7.853,0.171
0.459,-9.921,0.355
0.459,-9.921,0.355
-1.838,-9.117,0.91
2.298,-8.81,0.37
2.298,-8.81,0.37
-2.719,-9.423,0.244
-2.1830000000000003,-9.194,0.16899999999999998
-2.1830000000000003,-9.194,0.16899999999999998
0.268,-9.538,0.154
0.268,-9.538,0.154
-1.455,-9.27,0.193
-1.034,-9.232,0.161
-1.34,-9.538,0.07200000000000001
-1.225,-9.538,0.08900000000000001
-2.451,-9.04,0.177
-2.1830000000000003,-9.117,0.272
2.988,-8.734,2.09
2.988,-8.734,2.09
2.604,-9.347,0.277
1.494,-9.194,0.317
0.7659999999999999,-8.925,0.515
-0.344,-9.194,1.829
-0.919,-9.308,0.166
-1.723,-9.347,0.173
-1.723,-9.347,0.173
-1.992,-9.807,0.108
-1.34,-9.538,0.06
-2.298,-9.73,0.086
-1.379,-9.462,0.115
-1.379,-9.462,0.115
-1.953,-9.423,0.15
-1.915,-9.385,0.154
-1.685,-9.002,0.498
-1.838,-8.389,2.922
-0.727,-8.312000000000001,5.533
-0.727,-8.121,5.445
-1.494,-9.538,0.108
-1.072,-9.692,0.134
3.83,-11.339,-0.4920000000000001
4.252,-8.619,0.314
4.252,-8.619,0.314
3.102,-9.462,0.004
3.256,-9.194,0.005
-0.8420000000000001,-9.385,0.034
-0.344,-9.232,0.01
-0.804,-9.96,0.015
-0.229,-11.224,0.02
0.268,-9.768,0.021
0.268,-9.768,0.021
1.5319999999999998,-9.653,0.097
1.5319999999999998,-9.653,0.097
0.114,-9.768,0.015
0.191,-9.845,0.016
0.229,-9.615,0.031
0.038,-9.96,0.037000000000000005
-0.919,-8.158999999999999,0.632
-0.919,-8.158999999999999,0.632
-3.715,-8.504,0.378
-3.715,-8.504,0.378
-1.4169999999999998,-8.198,2.645
-0.306,-8.236,3.917
-0.306,-8.236,3.917
-0.498,-3.141,9.929
-0.306,-1.8,9.526
0.038,-2.298,9.503
0.038,-2.298,9.503
0.957,-3.754,9.419
0.574,-7.316,7.01
-0.574,-6.704,6.829
-0.574,-6.704,6.829
0.306,-1.915,9.56
0.612,-1.608,9.643
1.3019999999999998,-1.4169999999999998,9.596
1.3019999999999998,-1.4169999999999998,9.596
1.57,-1.877,9.563
1.57,-1.877,9.563
-0.727,-7.202000000000001,5.737
-2.7960000000000003,-10.075,2.475
-2.7960000000000003,-10.075,2.475
0.229,-9.845,0.025
0.229,-9.845,0.025
-1.264,-9.385,0.119
-1.379,-9.462,0.1
-1.225,-9.5,0.119
-1.264,-9.423,0.115
-0.574,-9.27,0.257
-0.612,-9.194,0.042
-0.344,-8.887,1.93
-0.344,-8.887,1.93
-1.455,-7.853,0.008
0.536,-10.343,0.003
1.034,-9.462,0.217
1.034,-9.462,0.217
-0.076,-9.538,0.123
0.6890000000000001,-9.002,0.34600000000000003
-0.612,-9.232,0.26
-0.612,-9.232,0.26
0.6890000000000001,-9.998,0.015
0.6890000000000001,-9.998,0.015
