x,y,z
0.919,-9.692,0.016
1.225,-9.692,0.015
1.149,-9.538,0.012
2.758,-9.117,-0.14
2.758,-9.117,-0.14
1.8,-9.96,-0.005
0.306,-10.036,-0.225
2.988,-9.385,-0.235
1.7619999999999998,-9.002,-0.612
1.685,-9.577,-0.398
2.911,-8.466000000000001,-0.4370000000000001
2.911,-8.466000000000001,-0.4370000000000001
-2.643,-2.834,-7.548999999999999
-3.102,-2.145,-8.833
-0.8420000000000001,-4.98,-8.388
-2.145,-10.649,-5.399
-2.145,-10.649,-5.399
0.268,-9.385,-0.111
0.268,-9.385,-0.111
0.6509999999999999,-10.036,-0.036000000000000004
0.6509999999999999,-10.036,-0.036000000000000004
-0.919,-8.772,-1.413
-0.957,-6.474,-5.612
-1.149,1.034,-9.63
-1.149,1.034,-9.63
1.7619999999999998,-7.9289999999999985,-6.452000000000001
2.1830000000000003,-7.814,-3.792
0.229,-9.194,-0.097
0.8420000000000001,-9.232,-0.469
0.8420000000000001,-9.232,-0.469
2.5660000000000003,-8.925,-0.333
1.8,-9.768,-0.484
4.022,-8.158999999999999,-0.385
3.179,-8.504,-0.613
3.179,-8.504,-0.613
0.383,-8.466000000000001,-2.427
0.383,-8.466000000000001,-2.427
-1.187,-8.772,-3.713
-1.187,-8.772,-3.713
0.574,-8.542,-2.458
0.574,-8.542,-2.458
3.562,-9.04,-0.2
1.608,-9.04,-0.279
1.608,-9.04,-0.279
-1.57,-6.742000000000001,-7.046
-2.681,-8.427,-6.0070000000000014
-0.306,-8.849,-2.9610000000000003
-0.306,-8.849,-2.9610000000000003
-0.7659999999999999,-8.236,-3.833
-0.268,-8.542,-3.222
-0.114,-8.772,-2.7030000000000003
4.099,-8.466000000000001,-0.028
4.099,-8.466000000000001,-0.028
0.229,-8.542,-1.094
2.49,-10.380999999999998,-0.7140000000000001
4.022,-7.853,-2.081
4.022,-7.853,-2.081
-2.873,-8.121,-2.467
-3.256,-7.891,-2.634
0.459,-8.236,-5.385
0.498,-7.7,-5.803
0.498,-7.7,-5.803
0.344,-7.891,-6.164
0.191,-7.47,-5.888
-0.383,-6.589,-7.276
-0.306,-6.435,-7.472
-0.191,-5.707000000000002,-7.885
-1.072,-5.822,-7.813
-0.6890000000000001,-5.363,-8.23
-0.6890000000000001,-5.363,-8.23
-0.498,-5.363,-8.207
-0.498,-5.363,-8.207
0.536,-5.401,-7.476
0.344,-6.359,-7.638
0.344,-6.359,-7.638
-0.306,-6.282,-7.667000000000002
0.076,-7.853,-6.268
0.919,-8.236,-2.708
0.383,-8.236,-4.03
2.834,-8.274,-1.817
2.1830000000000003,-8.619,-0.8190000000000001
2.451,-8.504,-1.111
2.451,-8.504,-1.111
1.5319999999999998,-8.542,-2.095
2.26,-8.351,-2.3040000000000003
2.26,-8.351,-2.3040000000000003
2.336,-8.312000000000001,-3.224
4.482,-7.814,-1.733
4.482,-7.814,-1.733
2.604,-8.619,-1.577
1.455,-8.964,-0.414
1.455,-8.964,-0.414
-0.191,-6.665,-5.7010000000000005
-0.191,-6.665,-5.7010000000000005
0.421,-5.247999999999998,-8.339
0.421,-5.247999999999998,-8.339
-1.455,-8.044,-5.524
-1.455,-8.044,-5.524
1.034,-6.167000000000002,-6.59
1.034,-6.167000000000002,-6.59
0.7659999999999999,-4.213,-8.836
0.191,-3.945,-8.977
0.191,-3.945,-8.977
0.191,-4.405,-8.926
-0.076,-7.202000000000001,-7.4620000000000015
1.608,-7.1629999999999985,-6.976
0.8809999999999999,-8.542,-4.0280000000000005
0.8809999999999999,-8.542,-4.0280000000000005
1.455,-8.389,-4.782
0.536,-6.091,-7.205
1.608,-4.252,-8.582
1.57,-0.996,-9.596
1.494,-1.992,-9.497
1.455,-4.98,-8.461
2.106,-5.8610000000000015,-7.982
2.106,-5.8610000000000015,-7.982
1.838,-5.8610000000000015,-7.675
-0.344,-5.363,-7.851
-0.344,-5.363,-7.851
0.076,-6.0520000000000005,-7.9620000000000015
1.838,-6.742000000000001,-7.274
1.838,-6.742000000000001,-7.274
