x,y,z
-0.574,-9.615,0.022
-0.574,-9.615,0.022
-0.6509999999999999,-9.653,0.024
0.344,-9.96,0.162
-2.4130000000000003,-11.339,0.068
0.459,-9.117,0.175
-5.976,-7.585,0.386
-5.976,-7.585,0.386
-1.5319999999999998,-8.389,3.812
-1.072,-8.734,2.696
0.8420000000000001,-9.538,2.669
1.877,-9.194,0.598
1.11,-8.044,1.335
-1.877,-7.047999999999999,4.275
0.038,-8.887,3.395
-1.494,-8.734,0.457
-1.494,-8.734,0.457
-0.076,-8.158999999999999,2.094
3.409,-6.32,7.108
3.409,-6.32,7.108
3.945,0.191,9.288
3.677,0.114,8.809
3.677,0.114,8.809
4.788,-0.574,8.316
4.788,-0.574,8.316
1.915,-0.957,9.177
-0.421,-8.236,5.881
-1.7619999999999998,-8.274,3.957
-1.685,-9.921,0.087
-1.685,-9.921,0.087
-0.919,-9.692,0.209
-0.919,-9.692,0.209
-1.8,-8.887,0.219
-1.953,-9.308,0.111
-0.7659999999999999,-9.538,0.108
-0.727,-9.768,0.037000000000000005
-0.804,-9.04,0.076
-0.804,-9.04,0.076
-0.498,-9.845,0.08
-0.498,-9.845,0.08
-0.804,-9.73,0.091
-3.3710000000000004,-9.998,0.052000000000000005
-3.562,-8.81,0.07400000000000001
0.727,-8.581,2.418
1.838,-8.542,3.093
0.804,-8.925,2.85
-0.536,-9.27,0.542
0.421,-9.308,0.499
0.114,-9.308,0.416
-1.3019999999999998,-8.734,1.124
-1.3019999999999998,-8.734,1.124
2.375,-10.649,2.765
0.804,-9.117,0.414
-1.57,-8.925,0.276
-1.4169999999999998,-9.577,0.192
-0.804,-8.581,0.162
-0.804,-8.581,0.162
-0.191,-8.734,1.508
-0.191,-8.734,1.508
-0.957,-8.887,1.595
-0.6509999999999999,-9.079,1.087
-0.6509999999999999,-9.079,1.087
0.229,-8.81,1.304
0.229,-8.81,1.304
-0.038,-9.04,0.976
-0.038,-9.04,0.976
0.919,-9.079,0.318
0.919,-9.079,0.318
0.038,-9.194,0.379
0.6890000000000001,-9.308,0.362
0.6890000000000001,-9.308,0.362
0.191,-9.385,0.273
0.191,-9.385,0.273
0.076,-8.158999999999999,0.28600000000000003
0.076,-8.158999999999999,0.28600000000000003
-1.838,-8.81,0.395
-0.996,-9.308,0.363
0.421,-8.044,5.558
0.0,-8.236,5.386
-0.727,-8.504,3.932
-1.072,-8.887,1.938
-1.072,-8.887,1.938
-1.072,-9.5,0.09
-1.072,-9.5,0.09
-1.608,-9.308,0.173
-1.608,-9.308,0.173
-1.4169999999999998,-9.385,0.16899999999999998
-0.919,-9.117,0.281
-0.919,-9.117,0.281
-1.57,-8.925,0.426
-0.229,-8.887,0.498
0.536,-9.117,0.481
0.536,-9.117,0.481
-1.685,-8.696,0.093
-0.919,-9.423,0.15
-1.877,-9.002,0.473
-3.715,-8.466000000000001,0.318
-0.114,-8.504,4.24
-0.114,-8.504,4.24
0.191,-8.427,1.568
-0.727,-8.198,3.293
-0.8420000000000001,-8.236,4.434
-2.911,-9.385,0.22
-2.911,-9.385,0.22
-0.229,-9.692,0.456
-1.877,-8.006,0.019
-1.877,-8.006,0.019
-3.141,-8.925,0.152
-0.957,-9.385,0.173
-0.957,-9.385,0.173
-1.034,-9.577,0.025
-1.034,-9.577,0.025
-0.804,-9.692,0.02
