x,y,z
-1.264,-9.27,0.064
-1.264,-9.27,0.064
-1.264,-9.615,0.158
0.612,-11.147,0.394
0.612,-11.147,0.394
1.953,-9.768,0.131
1.494,-9.155,0.27
1.8,-8.964,0.316
1.8,-8.964,0.316
0.038,-8.466000000000001,0.233
0.038,-8.466000000000001,0.233
-0.076,-9.538,0.181
-0.229,-9.04,0.289
-0.229,-9.04,0.289
0.306,-11.071,0.142
-0.536,-8.657,0.441
-0.536,-8.657,0.441
0.6509999999999999,-9.155,0.32
0.6509999999999999,-9.155,0.32
-1.5319999999999998,-9.615,0.282
-1.5319999999999998,-9.615,0.282
-1.149,-9.73,0.277
-1.034,-8.772,0.35
-0.8809999999999999,-8.964,0.436
-1.8,-8.121,0.353
-1.8,-8.121,0.353
0.6890000000000001,-9.002,3.27
0.6890000000000001,-9.002,3.27
-0.919,-9.155,1.863
-2.873,-8.696,0.7090000000000001
-2.873,-8.696,0.7090000000000001
0.268,-8.734,0.6509999999999999
0.268,-8.734,0.6509999999999999
-1.877,-9.462,0.262
-2.145,-8.925,0.225
-2.145,-8.925,0.225
-1.187,-8.81,0.404
-0.919,-9.385,0.109
-0.8420000000000001,-8.887,0.146
-0.8420000000000001,-8.887,0.146
-1.187,-9.5,0.108
-1.187,-9.5,0.108
-1.034,-9.308,0.278
-0.6509999999999999,-9.194,0.4970000000000001
-0.6509999999999999,-9.194,0.4970000000000001
-0.076,-9.117,0.769
-0.344,-9.002,1.07
-0.8809999999999999,-8.849,0.8059999999999999
-0.8809999999999999,-8.849,0.8059999999999999
-2.068,-8.925,0.916
-2.068,-8.925,0.916
-2.528,-9.04,0.407
-2.26,-8.772,0.29100000000000004
-3.179,-9.002,0.152
-3.179,-9.002,0.152
-0.919,-9.538,0.093
-0.038,-9.653,0.028
-0.038,-9.653,0.028
-1.187,-9.079,0.247
-1.072,-8.925,0.5660000000000001
-1.072,-8.925,0.5660000000000001
-0.727,-8.772,0.959
-0.727,-8.772,0.959
-0.957,-9.347,0.374
-0.383,-9.577,0.338
-0.383,-9.577,0.338
-0.344,-8.274,0.3720000000000001
-0.344,-8.274,0.3720000000000001
0.229,-10.113,0.43
-0.459,-9.308,0.173
0.153,-9.692,0.21
0.153,-9.692,0.21
-1.379,-9.538,0.07200000000000001
-2.145,-9.73,0.14
-2.145,-9.73,0.14
-3.026,-9.423,0.011
-3.026,-9.423,0.011
-2.49,-9.308,0.037000000000000005
-0.229,-9.232,0.149
-2.298,-9.002,0.195
-1.838,-9.079,0.271
-1.838,-9.079,0.271
-2.336,-8.504,0.206
-2.336,-8.504,0.206
-2.1830000000000003,-9.04,0.209
-2.873,-8.619,0.43
-2.873,-8.619,0.43
-4.635,-9.002,0.334
-1.7619999999999998,-8.504,0.16399999999999998
-1.7619999999999998,-8.504,0.16399999999999998
-1.685,-9.845,0.11
-2.375,-9.155,0.06
-2.375,-9.155,0.06
-2.758,-9.768,0.071
-2.758,-9.768,0.071
-1.992,-9.577,0.106
-1.264,-9.232,0.16
-1.264,-9.232,0.16
-1.494,-8.504,0.171
-1.494,-8.504,0.171
-2.719,-9.73,0.407
-0.957,-8.887,0.392
-0.957,-8.887,0.392
-0.996,-8.006,0.6970000000000001
