x,y,z
0.191,-9.692,-0.025
1.379,-9.232,-0.075
0.7659999999999999,-9.577,-0.071
2.068,-9.615,-0.8220000000000001
2.451,-7.968,-2.83
2.451,-7.968,-2.83
0.804,-10.496,-0.17800000000000002
1.225,-9.883,-0.479
1.608,-9.462,-0.076
1.379,-9.308,-0.152
1.953,-9.04,-0.177
1.8,-8.887,-0.157
-0.344,-8.351,-0.253
-0.344,-8.351,-0.253
-0.8809999999999999,-9.615,-0.152
1.11,-9.27,-0.182
-1.6469999999999998,-8.044,-0.479
-3.524,-8.351,-0.5529999999999999
-2.758,-9.002,-0.489
-2.758,-9.002,-0.489
-2.988,-9.04,-0.134
-2.988,-9.04,-0.134
-3.102,-9.117,-0.17800000000000002
0.804,-9.385,-0.392
0.383,-8.006,-5.6960000000000015
-0.344,-6.5120000000000005,-7.561
-0.344,-6.5120000000000005,-7.561
0.306,-8.466000000000001,-6.305
1.072,-8.734,-1.075
0.804,-9.04,-0.562
1.34,-9.04,-0.547
2.719,-9.079,-0.2
2.451,-9.002,-0.248
-7.0870000000000015,-5.822,-1.49
-7.0870000000000015,-5.822,-1.49
2.221,-9.194,-0.17600000000000002
1.5319999999999998,-9.04,-0.471
2.451,-9.308,-0.207
2.298,-9.04,-0.15
2.298,-9.04,-0.15
2.834,-9.308,-0.091
2.681,-8.887,-0.081
0.7659999999999999,-9.807,-0.07200000000000001
1.8,-9.653,-0.054000000000000006
1.379,-9.653,-0.045
1.379,-9.653,-0.045
1.379,-9.462,-0.09
1.379,-9.5,-0.124
0.574,-9.577,-0.17600000000000002
-0.7659999999999999,-9.5,-0.201
-0.727,-9.232,-0.317
0.191,-9.423,-0.304
0.191,-9.423,-0.304
1.953,-9.27,-0.213
1.953,-9.27,-0.213
1.685,-9.117,-0.321
1.685,-9.117,-0.321
1.877,-9.002,-0.244
1.877,-9.002,-0.244
2.26,-9.002,-0.251
2.26,-9.002,-0.251
-0.7659999999999999,-8.696,-2.261
-0.7659999999999999,-8.696,-2.261
-0.421,-8.466000000000001,-0.841
-0.076,-7.814,-5.895
-0.076,-7.7,-5.943
-0.344,-7.853,-6.055
-0.153,-7.355,-6.132999999999999
-0.153,-7.355,-6.132999999999999
-0.612,-7.24,-6.363
-0.612,-7.24,-6.363
-1.992,-6.205,-7.229
-1.992,-6.205,-7.229
-2.106,-6.244,-7.332999999999998
-1.264,-6.359,-7.239
2.49,-8.466000000000001,-1.7919999999999998
2.5660000000000003,-8.312000000000001,-2.133
2.5660000000000003,-8.312000000000001,-2.133
2.834,-8.312000000000001,-0.15
2.834,-8.312000000000001,-0.15
1.6469999999999998,-9.577,-0.16699999999999998
1.6469999999999998,-9.577,-0.16699999999999998
2.298,-9.194,-0.142
0.612,-9.5,-0.161
-0.996,-10.19,-0.029
-1.379,-9.615,-0.02
-1.4169999999999998,-9.538,-0.026
-1.264,-9.653,-0.046
-1.3019999999999998,-9.577,-0.056
-2.106,-9.577,-0.022
-2.106,-9.577,-0.022
-0.153,-9.155,-0.066
-0.153,-9.155,-0.066
0.268,-8.312000000000001,-4.836
0.268,-8.312000000000001,-4.836
-0.229,-9.117,-0.8240000000000001
-0.229,-9.117,-0.8240000000000001
1.685,-9.615,-0.019
0.229,-9.845,-0.312
1.4169999999999998,-9.538,-0.08800000000000001
2.873,-8.657,-0.115
-4.06,-5.976,-6.4220000000000015
-4.06,-5.976,-6.4220000000000015
-3.332,-5.593,-7.322999999999999
-3.447,-5.478,-7.3039999999999985
-3.294,-5.132999999999999,-7.604
-3.294,-5.132999999999999,-7.604
-3.3710000000000004,-5.132999999999999,-7.638
-3.409,-5.056,-7.699
