x,y,z
-1.6469999999999998,-8.351,3.361
-1.608,-8.351,3.135
-1.6469999999999998,-8.312000000000001,2.797
-1.6469999999999998,-8.312000000000001,2.797
-1.4169999999999998,-8.619,2.591
-1.4169999999999998,-8.619,2.591
-1.723,-8.427,2.565
-1.723,-8.427,2.565
-1.264,-8.887,1.5930000000000002
-1.264,-8.887,1.5930000000000002
-1.264,-8.696,0.979
-1.455,-8.466000000000001,1.699
-1.455,-8.466000000000001,1.699
-1.264,-8.351,2.165
-1.264,-8.772,2.393
-1.264,-8.772,2.393
-1.3019999999999998,-8.657,2.069
-1.34,-8.657,2.04
-1.379,-8.619,1.794
-1.379,-8.504,1.993
-1.187,-8.542,1.952
-0.957,-8.81,1.7480000000000002
-1.187,-8.657,1.806
-1.34,-8.657,1.943
-1.34,-8.657,1.943
-2.5660000000000003,-8.964,0.426
-2.336,-8.772,0.3670000000000001
-2.375,-8.734,0.45
-2.375,-8.734,0.45
-1.838,-8.772,0.536
-2.834,-8.504,0.481
-2.834,-8.504,0.481
-1.57,-8.581,2.422
-1.8,-8.657,2.079
-2.1830000000000003,-8.504,2.533
-1.4169999999999998,-8.657,2.5780000000000003
-1.4169999999999998,-8.657,2.5780000000000003
0.919,-8.389,0.7809999999999999
-0.344,-9.079,0.423
-1.149,-9.194,0.391
-1.149,-9.194,0.391
-4.137,-8.274,0.93
-2.834,-8.619,0.662
-2.375,-9.347,0.295
-4.328,-8.083,0.058
-2.719,-8.925,0.45
-1.6469999999999998,-9.04,1.78
-1.6469999999999998,-9.04,1.78
3.217,-6.818,6.684
2.26,-5.171,6.3210000000000015
-1.11,-8.772,4.591
-1.11,-8.772,4.591
-1.915,-7.1629999999999985,5.97
0.344,-8.083,6.629
1.723,-9.423,5.436
1.723,-9.423,5.436
-2.834,-7.9289999999999985,0.59
-2.834,-7.9289999999999985,0.59
-1.57,-8.504,4.783
-1.953,-7.507999999999999,4.578
-1.953,-8.772,0.208
-4.635,-8.619,0.235
-1.072,-9.615,0.004
-0.919,-9.615,0.005
-1.11,-9.577,0.006999999999999999
-0.957,-9.653,0.008
-0.957,-9.577,0.019
-1.034,-9.615,0.019
