x,y,z
-2.719,-9.347,0.016
-2.719,-9.347,0.016
-2.719,-9.385,0.019
-2.834,-9.308,0.022
-0.727,-9.347,0.223
-3.83,-8.389,2.004
-4.405,-9.921,0.032
-1.034,-9.385,0.385
-1.034,-9.385,0.385
-3.869,-8.849,0.324
-2.988,-9.653,0.076
-1.877,-8.389,0.238
-1.8,-8.849,0.21
-1.8,-8.849,0.21
-3.026,-8.044,3.252
-1.723,-9.807,1.493
-1.494,-8.581,0.289
-1.494,-8.581,0.289
-1.264,-9.155,0.509
-1.264,-9.155,0.509
-0.919,-8.925,0.109
-3.3710000000000004,-8.006,0.075
-3.3710000000000004,-8.006,0.075
-2.49,-8.158999999999999,0.28600000000000003
-2.49,-8.158999999999999,0.28600000000000003
-4.597,-9.155,0.095
1.57,-9.04,0.472
1.072,-9.155,0.513
1.072,-9.155,0.513
-3.524,-8.734,0.405
-4.9030000000000005,-8.236,0.28300000000000003
-2.451,-7.853,0.446
-0.6890000000000001,-8.198,5.529
-0.6890000000000001,-8.198,5.529
-1.838,-8.083,5.138
-3.409,-8.006,4.538
-2.145,-8.734,0.262
-2.336,-8.849,0.222
-0.8420000000000001,-9.04,0.095
-1.034,-9.998,0.108
-0.536,-9.768,0.188
-0.536,-9.768,0.188
0.114,-9.423,0.127
0.153,-8.466000000000001,0.274
0.153,-8.466000000000001,0.274
-4.367,-7.507999999999999,0.54
-4.367,-7.507999999999999,0.54
-1.8,-9.002,0.166
-1.3019999999999998,-9.5,0.159
-0.919,-9.577,0.203
-0.919,-9.577,0.203
-0.268,-9.692,0.199
-3.141,-10.228,0.024
-3.141,-10.228,0.024
1.4169999999999998,-9.347,0.096
1.4169999999999998,-9.347,0.096
-4.175,-9.079,1.972
-4.175,-9.079,1.972
-0.153,-9.807,0.153
-0.153,-9.807,0.153
-1.7619999999999998,-9.615,0.054000000000000006
-1.7619999999999998,-9.615,0.054000000000000006
-2.719,-9.308,0.044
-1.915,-9.462,0.05
-0.957,-8.925,0.09
-0.957,-8.925,0.09
1.608,-9.347,0.239
1.6469999999999998,-8.964,0.478
-0.919,-10.075,6.225
-0.919,-10.075,6.225
0.344,-7.24,6.542000000000002
0.344,-7.24,6.542000000000002
0.114,-7.431,6.473
0.038,-7.661,6.303
1.877,-7.853,5.886
-0.574,-8.312000000000001,4.845
-0.574,-8.312000000000001,4.845
-0.498,-6.359,7.327000000000001
-0.498,-6.359,7.327000000000001
-0.306,-6.627000000000002,7.3039999999999985
-0.574,-6.704,7.256
-1.225,-7.622999999999998,6.252000000000002
-0.8420000000000001,-8.236,4.14
-4.06,-8.734,0.096
-4.099,-8.696,0.093
-4.175,-8.734,0.021
-4.175,-8.734,0.021
-2.221,-8.542,0.142
-2.221,-8.542,0.142
-0.6890000000000001,-9.002,0.076
-1.11,-9.079,2.819
-3.256,-9.768,0.126
-3.256,-9.768,0.126
-4.8260000000000005,-8.198,0.04
-4.099,-7.853,0.128
-3.945,-8.619,0.238
-2.681,-9.002,0.142
-2.873,-7.585,4.759
-2.5660000000000003,-7.661,5.154
0.727,-6.78,7.147
0.612,-7.202000000000001,6.977
-0.268,-8.083,5.691
-0.268,-8.083,5.691
-3.3710000000000004,-8.236,2.112
-4.52,-8.657,0.634
-3.332,-9.462,0.434
-2.49,-8.389,0.409
-3.639,-7.661,0.649
-3.447,-9.385,0.279
-3.447,-9.385,0.279
-3.945,-8.581,0.111
-4.673,-8.427,0.017
-2.221,-9.462,0.004
-2.643,-8.657,0.243
-2.719,-9.615,0.025
-2.949,-9.423,0.0
-2.873,-9.347,0.03
-2.758,-9.232,0.02
